ZTSJ6537120: 48.682.994/3446-75<->74.191.138/6225-74
RXVJ4631844: 78.438.739/9077-81<->49.437.606/3013-48
OCAJ7862358: 83.745.188/6417-67<->92.935.995/9767-89
XCKU6952078: 02.624.719/7963-17<->56.566.357/3799-78
TEZU8468158: 61.364.287/3390-64<->51.875.262/3717-69
USLZ1674377: 31.005.433/6062-64<->30.698.824/9246-24
WSRU9628275: 11.319.853/4230-18<->46.066.897/4087-10
DVQU2750045: 60.437.181/9750-42<->73.016.581/6045-32
BUEZ5092081: 44.108.231/1666-94<->26.561.343/2675-18
IIPZ8723553: 92.498.943/9987-36<->88.742.494/6158-53
THMJ6214061: 88.130.784/0149-62<->00.832.406/6705-60
GVQJ4840838: 35.494.713/1921-64<->27.193.812/9635-15
CSMJ5671674: 62.160.979/7229-37<->35.748.543/7419-38
DOCJ1499918: 83.802.518/2912-29<->31.473.904/7629-92
UPCU7327219: 55.964.085/9746-86<->82.577.654/3003-63
RAEU5062854: 84.520.527/0047-60<->43.083.121/9036-92
IPDZ2884506: 10.252.682/1348-80<->93.532.815/7922-68
WCBZ9239993: 74.475.361/3710-79<->05.367.855/7711-07
IJJJ4399128: 91.058.957/4504-13<->01.902.910/4093-99
SUBU6047114: 03.242.847/4301-85<->77.636.115/3700-26
OMUJ3029271: 86.723.634/9555-77<->57.624.319/5778-65
IUGU4223621: 72.812.548/3082-48<->27.312.403/6216-38
AVVZ7202161: 51.493.960/5761-27<->57.841.617/3724-49
OSZJ7899162: 81.527.450/1785-98<->02.401.702/6168-55
LZMJ4658453: 86.396.416/9605-97<->95.666.076/8802-77
IWQU5470588: 32.598.214/6193-66<->50.485.806/2784-11
BUVU0759562: 09.756.370/8842-14<->02.935.650/3666-57
ZCPJ7313708: 67.140.689/9369-90<->48.726.456/3932-10
KZLZ4193397: 09.303.112/9752-56<->33.957.828/6878-05
PYWJ7731822: 43.118.469/4005-68<->84.866.190/9206-33
TETJ0690651: 26.644.028/7765-72<->67.611.515/2701-44
XISJ5415193: 24.725.933/9337-39<->45.886.979/0702-36
YUZU1216810: 91.718.232/5746-68<->74.140.603/0072-65
UGPJ7870980: 80.053.968/0623-75<->04.104.606/0452-68
XEOJ7906103: 53.956.729/0545-42<->89.570.269/8856-88
WVFZ8368286: 15.981.607/8986-57<->23.550.077/1548-70
FCTZ4049858: 10.142.865/6986-99<->19.765.985/8760-24
LBIJ6587575: 94.380.062/5127-79<->50.370.668/5702-46
WWZZ3863631: 07.930.193/9128-58<->26.556.714/7897-11
DPTJ2196003: 21.520.213/0041-35<->07.068.460/6578-49
GFUZ9608251: 28.828.672/2420-43<->58.772.015/7856-63
OCDJ5607712: 30.645.395/1765-64<->35.087.858/3488-00
QKDJ9957993: 44.485.360/3073-99<->21.587.055/2453-11
QVQU8543505: 61.379.738/0786-59<->97.035.056/4683-63
ZWZJ4485083: 14.082.977/7498-05<->76.909.231/3451-26
DUYZ0345576: 49.565.294/2605-75<->04.380.382/7039-76
BXTJ0115679: 14.243.037/8501-91<->11.942.250/0263-02
YPBU7092405: 51.425.141/5472-83<->46.797.060/5596-88
HGNZ0008170: 24.216.248/9532-09<->13.351.745/2333-93
KXYU6615219: 34.550.658/8784-47<->66.720.036/2823-74
KVBJ2481380: 60.340.311/9072-01<->50.467.680/5829-31
ZCTU4708702: 31.597.225/2030-92<->85.975.896/3349-70
UPNU7263855: 53.568.044/6235-70<->06.686.838/1981-28
EJEJ5894436: 19.846.833/6895-95<->84.835.141/7400-92
AWRJ3625715: 16.607.305/9485-56<->36.584.466/6248-45
QAKU1169290: 84.435.564/5781-97<->14.024.163/1075-60
VJRJ1669999: 75.247.756/0172-12<->16.075.651/2229-91
AAOU6322639: 96.799.130/2557-36<->60.596.568/3646-01
BZQJ6035406: 81.733.185/7686-44<->82.747.984/6852-41
DCVU7639415: 30.418.417/5813-10<->66.553.908/5277-21
KPRZ1236176: 11.064.544/2315-95<->61.109.564/1102-00
WDLZ4707910: 91.231.144/9784-80<->62.795.597/1329-14
XZYU6694915: 14.024.081/0078-95<->81.373.886/5458-31
DPCZ8026425: 94.025.084/7639-06<->69.701.968/1663-41
MPDU1504325: 78.968.940/1012-40<->77.211.368/0974-31
MJXJ5366999: 46.555.107/5727-40<->58.081.172/8387-77
MLVZ3072996: 84.289.016/8091-04<->94.557.357/4053-14
EWNU4224808: 99.384.772/9175-48<->67.560.223/8549-28
LFUU2017980: 92.734.839/2642-96<->14.578.192/0684-41
HWGJ1943734: 92.702.244/8690-60<->10.510.576/6874-30
KVJJ5551435: 67.001.584/0372-17<->19.294.991/9349-31
RFAZ3864221: 98.700.601/2296-61<->49.374.714/9210-34
OLYU6678150: 01.358.458/2249-51<->67.176.317/4717-74
DJYU3569105: 11.012.886/4465-41<->03.990.575/2090-62
SWYJ3284395: 95.152.651/7675-74<->47.105.472/1689-20
WQCU3423886: 85.664.156/6632-88<->93.682.113/7266-51
ORYJ2302254: 32.800.476/0606-73<->94.948.668/5609-89
FQDJ4462869: 75.649.351/4445-87<->90.272.223/9353-43
RKVZ0640739: 44.025.060/2310-61<->78.720.053/4430-73
UAMZ7923576: 76.620.499/8200-51<->90.207.333/5654-76
UWKJ7855759: 98.513.141/1816-29<->27.217.152/7671-23
VBKJ7921471: 63.580.217/2172-66<->40.681.917/1817-08
UIAZ1778261: 18.393.390/5803-10<->52.972.202/7776-29
RXKU4524370: 78.747.272/1205-82<->72.147.498/8891-57
VXQU6428046: 04.129.117/4224-48<->25.414.710/2740-61
EFDJ6484391: 70.944.135/7556-88<->63.276.570/1687-67
COPZ4129840: 04.728.235/1384-35<->46.513.595/6675-06
AWAJ4413025: 85.869.761/6341-33<->63.200.307/0140-71
YCJZ0135998: 31.088.748/2390-35<->42.265.508/6057-31
GRQJ8832104: 10.827.819/4486-98<->19.105.018/6669-03
SGHU7694503: 64.370.705/8102-11<->23.518.855/9719-03
LLQJ5988190: 18.754.864/1943-98<->45.788.415/5100-43
FGIZ5848092: 97.546.520/3987-74<->80.883.366/8049-25
DTSU5793175: 65.914.839/1150-74<->66.069.720/6333-67
SUHU4347947: 15.303.087/5973-31<->79.734.141/8826-87
PWPZ7193139: 77.678.504/1659-44<->28.784.279/2566-78
TNOU9330558: 46.526.261/3068-55<->62.929.330/6540-03
JDJJ9345301: 26.484.868/4089-05<->36.730.690/5391-88
ALEJ9927167: 52.455.887/1619-45<->75.524.700/4206-70
BWQZ1417447: 24.187.863/7299-56<->40.930.874/5796-54
RPDJ7746038: 97.862.097/0325-70<->98.817.503/0250-50
ZAHZ9306925: 70.962.368/9607-97<->66.466.516/0257-17
VABZ8431670: 78.843.587/0765-39<->89.514.741/4245-72
KWXZ9496576: 83.641.018/7535-98<->60.826.018/2961-55
SXVU0455357: 99.375.564/9905-00<->53.677.131/8291-31
TUBJ6068097: 04.099.950/6219-12<->88.814.383/3667-75
VAJJ1724212: 23.133.952/4818-38<->28.701.784/5483-24
HPZJ8531843: 82.544.867/0943-46<->56.887.672/9263-08
QWWU7630770: 19.066.430/6836-83<->47.975.574/8300-86
BIQU8044742: 38.635.078/8297-08<->95.996.456/9135-67
DBQZ6090865: 80.231.289/2255-79<->89.832.089/4239-11
JTMJ9984259: 54.093.025/1674-91<->86.396.096/5610-04
XDUZ5232969: 60.852.924/0056-92<->38.001.634/7480-80
BPFJ0621907: 99.780.870/9623-98<->19.105.040/3915-85
NLYJ4022968: 13.965.284/9577-60<->24.515.618/1479-88
WGUJ1326227: 02.672.190/0826-41<->79.484.103/7422-68
OXDJ1512089: 61.610.908/1300-70<->23.050.880/9130-28
JBFU3311981: 07.080.398/7401-44<->41.803.524/4748-37
XKMU2088430: 84.904.383/5117-94<->40.174.072/5155-73
BGZJ5570305: 51.192.326/0085-73<->35.127.283/4712-40
CXUJ7170529: 57.329.831/4610-48<->95.866.987/3605-11
CVRJ0679837: 25.493.375/6220-41<->42.798.962/4826-57
HISJ6766791: 19.810.415/9091-13<->65.872.382/2044-19
OVOZ0024037: 51.570.992/1342-44<->98.467.251/0953-84
WBKU3484312: 65.783.285/3325-84<->88.153.796/4263-01
XUPU9352217: 66.866.059/8076-03<->83.180.390/4713-50
AUVJ6343950: 67.803.408/9559-72<->69.955.667/8732-68
WQPZ4701074: 17.219.066/7067-98<->29.734.649/0878-59
QIOU3620208: 79.742.171/9847-33<->77.786.468/4683-56
VWMU9944869: 99.562.739/4433-11<->38.443.543/9009-63
JIDU7871350: 25.708.177/4367-08<->03.151.478/5543-62
DAZJ2304466: 68.920.786/8167-49<->72.568.345/4169-70
WDLJ2616986: 18.033.803/6142-32<->77.603.969/2694-01
URYZ9779697: 12.133.898/5193-83<->20.329.770/7180-58
NEXZ8704616: 47.382.778/9636-16<->92.647.684/2685-11
NWKZ9162797: 19.194.731/8956-27<->96.120.752/2046-05
MYSZ8519287: 42.253.118/8714-77<->13.604.404/6176-02
EUZJ8302762: 34.340.919/7539-41<->76.736.415/7305-00
TCWJ0224253: 29.220.150/6167-46<->14.467.408/8011-68
WLCJ7202511: 38.816.788/3229-75<->85.086.369/0873-16
KFMU5119135: 37.168.974/4892-66<->50.090.578/4888-75
AVRZ9712138: 06.074.412/3776-27<->79.635.359/8422-84
WQYZ9648304: 36.361.956/8111-65<->91.635.950/4491-08
JJKU3576420: 31.030.706/1353-41<->92.483.721/7877-42
JNLU2112779: 57.681.927/5673-42<->19.439.908/5209-91
VPSU1559687: 38.930.703/6569-41<->66.635.525/9774-73
DQPJ1535551: 86.501.936/4791-05<->41.686.978/0365-38
WZLZ0371708: 88.586.786/6465-33<->63.379.769/8715-70
BBVZ3905874: 91.462.567/1644-89<->68.238.089/8438-96
XMFJ5925987: 25.017.051/6928-53<->60.375.369/7721-98
MGOJ2252258: 03.635.140/2438-95<->42.198.192/4979-73
QSDZ3336414: 09.242.943/7015-32<->32.189.950/0622-05
LTNZ3929369: 80.046.323/8250-94<->88.967.233/3849-41
RLZJ7342925: 32.791.046/9015-40<->54.211.627/8106-19
DTEU6795279: 04.184.735/8295-99<->43.323.562/9676-30
DJIJ2558369: 91.574.951/3721-55<->64.934.389/3718-61
KJEZ6812916: 40.502.152/2505-07<->09.468.977/3892-24
JGJJ1994217: 04.602.979/1813-49<->67.427.148/7464-09
SFHJ8705963: 66.129.605/2650-27<->98.816.286/2325-15
HSFZ6017250: 66.559.024/3533-69<->56.576.503/8336-86
TIIZ2093500: 03.860.563/8123-84<->58.144.375/9877-98
IGSJ9207882: 73.730.560/8216-26<->35.679.328/0687-68
DBNZ7467296: 25.638.106/1155-44<->28.383.759/1365-46
YNYU2515510: 81.782.321/8797-50<->04.063.962/0578-46
GNAU8252452: 66.323.975/7970-66<->21.485.795/6998-55
BHKU6860318: 82.642.936/4367-22<->25.499.234/6301-95
UPFJ7220933: 89.004.894/6247-97<->12.456.938/5518-26
QWDJ0969628: 90.571.122/8097-97<->62.640.394/5747-54
YFKU6989599: 58.170.045/0520-71<->41.564.309/0161-75
EWLZ9276751: 32.012.655/2724-22<->32.262.420/6979-18
IJNJ5995318: 61.264.118/3088-62<->32.724.338/4782-84
SBEU9513723: 55.584.924/7754-57<->25.339.422/7647-89
PYBU5471777: 86.247.605/6462-01<->98.595.456/6583-10
OLPU2883831: 59.759.328/0344-29<->70.192.790/9644-68
NZEU3980671: 85.104.822/7036-98<->90.809.230/0022-28
TZZJ9009182: 38.412.112/6783-09<->94.269.148/8986-67
YOZZ7616322: 57.240.800/4372-97<->64.755.975/0649-06
WIWJ3279958: 30.738.947/3448-39<->12.777.214/7777-57
BCNJ4940118: 79.502.669/8104-20<->43.001.521/9336-04
KHXJ7477491: 03.604.373/7706-53<->33.237.899/9777-32
PWAJ9111484: 45.988.695/3117-95<->43.924.623/8253-92
TKDU7307315: 92.406.179/0172-81<->84.137.450/1250-57
BYGJ8360698: 10.030.597/7651-84<->46.698.993/8169-76
LPSJ8776231: 13.973.466/5450-43<->20.585.424/7967-31
PJIU3191926: 27.476.444/2399-85<->76.194.425/1992-58
VLRJ1758796: 43.296.777/7495-51<->20.722.515/3118-86
TNJU8204921: 89.541.841/9176-89<->13.853.868/7317-57
OBTU0023325: 60.839.566/1678-93<->03.733.181/2786-86
LMZU3474153: 41.733.747/6579-53<->15.896.405/7505-27
JXRJ0940128: 36.877.219/6792-11<->89.000.197/6702-35
WYSU3368834: 73.583.794/9150-21<->66.042.988/1498-69
MFTU4575516: 11.008.297/4594-46<->87.095.534/5426-66
IDNU0943565: 31.116.437/0925-86<->71.559.207/9195-54
HSGU1832340: 44.634.755/0947-87<->33.698.542/9913-42
UISZ4945500: 92.878.183/0853-63<->90.576.929/3746-74
FMPJ9484193: 76.910.983/6595-09<->17.230.458/1781-23
BLCZ2263497: 24.111.798/5904-01<->65.177.290/1497-44
RPFZ6545812: 60.558.190/4650-38<->89.910.578/0666-21
WSVZ6210901: 74.978.788/3620-42<->55.369.922/8065-32
FONU8847509: 28.923.573/5289-12<->39.972.031/2577-70
OWXZ9004450: 32.782.385/3411-63<->25.074.670/1522-26
CMTJ7081661: 92.232.981/4629-51<->33.714.335/1137-64
NVTZ9832124: 08.494.581/6308-95<->35.375.071/5171-02
JMZJ3216441: 06.918.333/9011-00<->00.034.979/5797-98
TEQU3906770: 87.079.244/0584-84<->83.629.439/1596-99
ZLZZ8960827: 11.597.019/9928-19<->04.525.473/9854-75
YLEZ1934029: 54.247.653/4868-92<->70.280.977/4821-44
SRUU6150108: 49.322.691/7836-22<->92.758.565/8567-56
VEBJ7274376: 62.785.970/6863-90<->44.217.429/3806-70
PCIU5883788: 13.752.968/1087-70<->69.573.687/5855-91
SDBJ1420294: 69.180.148/0762-40<->38.567.860/0512-82
KNIZ9587207: 67.428.917/9668-08<->52.783.564/4600-96
YSGU2417077: 97.615.272/5295-60<->01.554.430/3241-41
FJEZ9960220: 94.887.167/1025-46<->37.210.195/8849-72
MTSZ7214979: 76.706.969/7790-68<->58.901.999/6819-74
RJNU3083463: 46.226.221/5204-68<->37.975.191/0957-17
FTZJ0294546: 82.009.327/7315-39<->52.543.492/7521-05
FRZZ1410778: 49.264.295/4450-78<->32.934.980/9672-85
OBZZ6845863: 56.218.235/5708-11<->26.333.725/2448-08
HBGJ4020658: 16.098.033/4984-07<->84.223.079/0426-91
CVLJ9808149: 98.266.598/6392-13<->61.354.024/7546-93
ASQJ5993480: 17.308.469/8234-52<->76.826.914/9072-05
UIBJ0423411: 14.638.686/0504-93<->63.659.677/9322-96
VRKU1603067: 42.883.502/9091-40<->38.913.156/4865-84
VPSZ6401052: 87.937.360/5405-75<->47.023.104/2464-90
MJNJ3140566: 57.595.355/9532-56<->39.825.661/0293-81
DEQU1537028: 94.978.016/6428-94<->53.610.016/7287-94
HATZ4552988: 46.106.684/2851-83<->93.972.570/6533-72
LHCJ4940348: 62.771.824/0731-28<->47.119.626/7996-93
GGTJ9744667: 94.700.258/0312-79<->85.586.654/6873-02
OERZ1974250: 72.510.668/7867-46<->55.486.687/8809-84
GSGZ7663498: 84.226.416/2757-44<->35.526.900/0071-14
VJFJ4224432: 90.849.766/0153-87<->33.845.791/1908-40
SIRU4268216: 78.189.851/4082-25<->10.086.328/2282-80
GOQZ9380764: 81.542.133/4940-47<->36.239.234/3344-71
SBAZ0710482: 78.863.333/1113-12<->75.273.409/6668-55
AHQJ5004476: 78.274.426/4030-57<->62.687.578/2478-02
CUEJ8620773: 75.633.486/9528-93<->35.730.835/2539-97
YNNJ0798377: 83.682.562/1181-91<->79.441.042/5526-75
DSWZ6396282: 15.590.537/6382-44<->17.065.029/3382-82
WSJZ6415383: 03.985.089/8263-33<->29.327.989/0976-32
UJOU1365607: 69.217.644/7984-02<->71.093.339/0502-71
NQAJ6961626: 73.420.595/7550-35<->55.946.577/7030-77
FKEU3726976: 96.910.143/5010-19<->42.244.085/2715-99
YCDZ3937104: 90.002.915/2840-49<->90.482.599/9384-51
DCOZ3938785: 78.007.104/1861-22<->47.207.748/8632-92
LNTU4577670: 92.829.171/7652-19<->04.213.025/7155-57
LWEU2921908: 18.803.706/5810-23<->32.808.037/5902-08
ESNU6647002: 44.275.042/3316-88<->87.969.736/7147-88
LOYU0975027: 98.478.718/4671-11<->60.022.441/0796-90
UNAJ2687684: 99.563.707/8717-52<->14.268.550/8449-83
QMTU2720480: 87.746.752/3044-41<->59.141.862/6454-78
NPRZ7371855: 97.324.132/0351-79<->10.936.321/1395-85
BRZJ0421313: 89.814.043/3433-34<->19.932.229/6726-39
ZPLU0521314: 60.916.395/5097-11<->63.557.652/0080-87
EYNU5889807: 53.906.859/9945-51<->70.747.681/7778-61
CZBZ9164965: 58.410.990/1551-70<->67.744.253/5138-30
DKNZ8875786: 73.946.928/6407-92<->07.164.488/6272-50
KGAJ7371890: 72.943.361/0725-20<->87.063.433/8416-47
KYZZ8043552: 18.019.391/4572-70<->32.136.859/3848-03
IIAU8845436: 01.790.025/6746-80<->93.658.930/4278-17
JXBU6461433: 67.498.067/0372-87<->55.058.589/0252-36
IZJJ0217628: 82.403.619/9716-45<->16.996.227/1970-20
LBCU3703949: 75.268.061/3039-24<->41.864.524/5274-17
BCZJ9790495: 67.430.053/3152-06<->35.776.657/4286-82
KRIJ7189228: 90.861.516/1926-19<->37.507.860/0153-60
WZYZ9967279: 74.950.580/1843-17<->78.042.379/4822-99
LIZU2580484: 61.171.666/1656-25<->89.865.755/0508-37
IYUU9075102: 74.838.124/4386-99<->67.805.901/1072-32
RXRJ6699940: 92.718.686/4285-28<->08.327.423/8098-17
CQKU1908584: 88.115.971/8978-63<->03.234.665/7604-98
JPGZ4014494: 36.343.175/4955-61<->87.322.666/4618-74
ZGSU5413203: 64.980.854/2430-02<->77.135.599/7275-34
MHTJ5533623: 54.152.795/4691-88<->52.548.338/6857-44
HFBU4113986: 20.334.910/3213-33<->71.243.515/5249-73
IEFU5232285: 54.412.925/6078-33<->06.264.223/1772-30
XVVU5460786: 19.956.675/4300-78<->75.638.636/2096-40
JPYZ0705939: 29.587.302/3525-09<->73.584.043/4424-44
QIOJ4451528: 89.639.374/4038-67<->48.020.152/7767-19
GGVZ1742165: 44.077.534/8225-84<->19.681.088/2906-51
YPVU7135953: 57.191.823/1803-89<->10.554.840/6311-13
REUZ7047740: 65.647.611/2010-27<->12.015.146/3494-25
PRZZ2801327: 24.947.858/2773-48<->45.991.232/9537-78
TPFZ3980824: 10.166.298/5128-20<->75.557.900/8230-44
EARZ7581602: 99.981.331/0534-28<->13.126.891/6800-65
LYEZ1626628: 56.131.179/3719-00<->61.906.613/7548-54
ULVU2579016: 11.046.114/0765-63<->09.979.124/7342-33
NHKJ9019695: 59.021.523/0367-12<->45.779.001/5378-82
ZPQJ0501906: 89.787.238/7266-03<->93.365.090/7812-40
QSIZ8679538: 08.805.168/0650-64<->56.581.112/4840-49
PLXZ3265572: 08.606.864/6994-78<->25.463.577/2934-85
MXCU7042573: 32.207.059/8720-86<->39.681.412/0183-95
DIWJ1573293: 99.715.009/3533-36<->11.380.745/8616-70
PIEJ3990311: 40.271.002/6658-79<->56.009.893/2712-52
XEVU7356862: 62.970.157/0594-93<->96.880.145/5094-02
AKPJ3230537: 74.101.444/8892-63<->69.840.906/0927-73
YXHJ5450852: 63.376.332/6874-54<->74.062.593/9918-77
GEBJ1286462: 75.803.382/0959-64<->83.101.551/0606-12
QJQJ1137174: 74.131.925/9920-87<->16.826.085/5436-31
HONU2858840: 27.886.849/2479-32<->33.548.271/8432-11
BOOZ8409255: 99.781.394/5155-61<->65.175.998/6717-92
JUXZ9548349: 35.818.835/6385-62<->04.796.667/0973-58
PMGJ4304968: 02.911.313/8132-72<->42.635.554/3844-23
DIHJ7651815: 34.425.263/7607-66<->34.780.168/0293-70
EILU8354191: 31.089.085/4586-26<->51.649.521/1824-92
PAFZ0598384: 75.096.890/5279-57<->15.362.730/8618-63
LOTJ2007889: 35.774.323/1991-06<->21.575.445/1953-91
IBVZ1342910: 07.935.203/3672-07<->74.784.237/0809-59
JGJJ4597898: 02.223.225/0911-69<->25.601.001/7985-21
JEUU0788524: 61.398.628/4352-91<->97.442.442/7923-38
ZELU4558736: 96.817.675/6801-87<->58.146.691/3215-17
ZTKJ5230646: 53.055.100/1123-78<->90.621.386/7680-41
KMMU3386546: 85.878.264/8938-89<->95.233.951/1470-23
MOOZ9381291: 74.962.714/9180-56<->02.442.386/4298-43
ZBXJ5452941: 84.304.585/4043-79<->25.251.945/6519-56
QYFZ8366154: 13.718.508/6966-62<->36.913.311/3831-03
LQTZ0702599: 83.789.377/9033-04<->94.348.024/1937-63
QLUU1867760: 67.517.526/9874-35<->45.548.128/0133-70
HPQZ2170947: 10.777.320/3002-85<->64.181.001/4427-84
FICJ4297141: 43.049.987/3792-09<->13.504.513/2312-74
VGUJ7158208: 59.132.602/1293-56<->20.180.064/2612-03
VKSZ4713107: 34.180.626/0714-05<->57.663.642/6834-50
QRMJ1492819: 69.243.732/7151-24<->41.038.792/2353-76
FMVZ1519245: 49.704.593/3858-71<->57.090.438/1039-16
UJOJ6672405: 50.221.830/2277-96<->55.719.108/9399-55
QGCU3950193: 96.785.861/8525-04<->50.855.028/3835-21
YVPZ7796772: 11.531.805/1143-57<->14.197.621/6728-95
CIKJ0152586: 58.071.596/2904-14<->71.905.960/9744-79
NIMU7053144: 47.720.881/9564-61<->76.013.130/9337-54
NSGJ2667689: 29.567.923/0893-18<->15.164.160/2610-90
ZXSU3355044: 38.054.954/0267-28<->51.788.238/2023-82
VEMZ2246833: 00.716.217/3722-56<->67.892.648/5231-00
QDYU9387440: 89.562.796/7693-31<->46.363.587/8558-80
RATU4516819: 40.012.592/8030-22<->93.572.145/8996-33
FJXZ5329920: 06.972.793/3127-49<->89.098.095/0152-14
VXNJ8653949: 24.375.262/4093-89<->65.396.032/0028-79
OYCU6390007: 44.700.563/7909-87<->23.674.864/8605-44
FSBJ6316142: 89.994.963/4951-67<->96.118.019/2397-69
BMOU0660428: 03.302.147/6913-97<->20.934.087/5468-22
VIUJ2178517: 66.539.675/5640-22<->68.944.402/4035-77
MYRZ9715759: 73.709.568/5424-30<->88.093.270/8142-67
AWIJ2018041: 13.238.537/3849-52<->70.065.273/4194-94
TGFU4562887: 67.944.418/8834-73<->29.276.884/9894-56
CATU9543958: 61.785.198/3895-51<->81.979.035/3384-37
TMDU7367407: 19.828.250/7085-22<->03.619.400/9477-33
TNTU7351826: 23.092.117/1564-86<->68.117.140/0705-55
VQIJ6721101: 57.205.458/9670-15<->73.092.566/6568-88
DGYU3836148: 39.346.925/5664-55<->01.768.472/2627-48
NJXU2603691: 85.090.749/9986-30<->17.732.185/1816-14
MGIU8355186: 62.395.974/4629-54<->82.416.752/5208-34
BGBJ7003550: 62.655.972/2955-93<->77.070.927/8636-56
KHZJ1481271: 61.883.289/6594-81<->20.021.908/1833-36
JDYJ0363097: 15.040.364/3869-83<->48.606.584/6982-21
TEGJ4673203: 28.112.579/0349-02<->32.078.751/9316-98
GRZU2709550: 33.972.475/3502-92<->09.132.351/7908-06
MQSU1130753: 13.434.875/7328-80<->98.326.429/3835-82
VJTU2782820: 69.546.250/0744-55<->59.204.354/4033-82
ZZTZ8142703: 34.740.555/7710-31<->45.132.865/5460-25
XZZU9406153: 81.201.413/1541-87<->55.146.965/8639-61
MHVU1521089: 49.148.826/1907-76<->64.860.681/6473-72
DCQJ9060878: 48.587.991/5790-68<->68.792.712/1782-55
WHXJ3208141: 47.007.284/2858-96<->40.727.829/6111-12
ZNDJ5864373: 27.674.083/6227-78<->59.250.749/5658-42
YLWZ4550569: 95.250.328/7908-36<->41.680.592/1566-52
MIDU6675816: 31.198.085/5965-50<->51.192.934/3554-33
IEAJ2247786: 32.348.404/2977-23<->97.236.710/7716-81
LOKU2878139: 90.479.411/6879-76<->71.017.322/7552-84
RRXZ6848292: 36.526.533/6295-34<->45.444.997/7308-30
HBUZ1028975: 09.402.589/3618-84<->93.501.139/1737-45
ZJOJ1785572: 10.442.697/6348-56<->37.748.743/7446-42
WEXJ0360259: 68.712.723/0502-33<->23.733.345/8533-21
YGLJ7285788: 93.333.477/7135-36<->85.836.660/9799-86
XNQJ8659001: 85.289.659/8964-29<->12.142.265/9570-12
FJBJ1082325: 49.109.517/8129-32<->65.297.922/6771-88
ZOVZ5364991: 08.353.613/9137-52<->84.571.307/7188-21
LRWZ1074282: 90.195.615/6654-07<->84.451.380/0837-32
WFVU1544618: 26.146.940/4086-34<->46.577.512/9712-82
GBPZ8732144: 50.447.291/1747-80<->92.636.688/2257-07
JYXJ1190710: 18.236.292/4289-05<->20.435.613/5472-47
PQKJ4525518: 08.959.732/1485-84<->96.868.853/7270-13
ZDFU5162084: 58.730.277/3214-57<->84.984.932/8162-53
YFJZ8520899: 94.695.462/7276-55<->57.512.558/1699-00
XNMU3686282: 63.197.199/3135-99<->11.343.035/5515-05
YILZ6980495: 93.262.658/0327-01<->01.897.573/6485-55
QKVJ7117614: 32.069.534/4158-91<->16.664.443/1812-36
RMYZ0669501: 34.257.677/7978-17<->29.526.415/2951-24
OZJZ0677036: 26.543.463/4007-52<->58.900.517/8994-04
TUSJ1270376: 62.110.216/3931-42<->30.654.504/7422-47
BVFJ2067028: 82.227.300/3655-24<->41.354.594/3759-39
XMDJ9272771: 68.233.724/6826-08<->59.379.396/7369-57
XHJJ4549125: 12.272.183/0478-40<->22.030.696/3816-76
UVQU5229067: 43.007.561/6562-87<->34.093.552/3647-26
BHSJ7285947: 68.685.300/1856-83<->71.355.087/1480-81
TFCJ1136078: 63.616.831/7435-51<->34.109.936/8041-00
LCHZ0979614: 13.394.692/1452-13<->51.954.653/0810-20
TFSZ8108964: 69.444.338/4551-24<->70.889.190/9164-77
FNKJ5970352: 30.076.540/2276-67<->74.177.627/5475-59
BFMU2887024: 00.236.449/2339-75<->42.801.248/9439-25
EFNU2258019: 26.394.724/1309-48<->44.249.026/4266-21
UWNZ2676553: 33.169.320/2983-11<->12.731.358/0886-25
HJXJ1350026: 35.377.106/3123-54<->21.717.342/3361-31
TJHJ9409835: 84.391.150/0626-52<->35.790.205/9302-24
SSLU7732395: 49.104.040/8446-07<->68.286.076/9413-89
ZPSU6450168: 95.697.280/6958-29<->04.672.951/2975-49
NVDZ7782180: 84.669.269/5742-14<->99.201.897/2696-84
FZHZ6597488: 67.983.948/4426-21<->00.854.710/5955-52
FIHJ0412445: 14.007.218/6513-33<->11.522.459/2162-34
PYGZ9352346: 55.541.316/3567-93<->82.435.586/3803-66
GAPU8154434: 17.153.770/7279-11<->68.861.408/5120-84
KXIJ4944767: 97.472.375/3322-09<->97.022.956/7187-57
JPCU6642010: 93.576.019/1404-84<->37.180.642/8291-78
XWBZ0478273: 53.858.814/1810-52<->30.635.975/9418-15
BPIZ3169107: 33.455.443/0942-40<->84.052.410/1948-49
OXHU1072536: 59.512.371/9682-49<->10.839.015/3628-12
IVHZ7980463: 24.386.129/8845-81<->69.496.638/8192-04
TSSJ3397236: 74.348.088/2793-17<->16.765.025/3599-75
HSVU8636102: 53.480.989/6691-05<->49.660.605/4694-71
FKTU6374896: 08.485.570/1175-30<->54.778.396/8221-96
UKLJ2711678: 88.113.842/3869-74<->68.701.830/7055-92
NIWJ3677481: 39.034.379/3537-20<->79.948.612/1032-45
BOMU0398906: 86.831.739/7751-19<->56.610.570/7287-05
KTBU6730854: 63.701.404/8333-16<->08.717.797/8476-68
ZDFU3667781: 10.801.525/2141-95<->88.874.787/4814-62
CKUJ7536382: 35.045.790/5726-39<->96.809.923/7672-94
QYJJ4023081: 02.284.376/2998-69<->47.596.231/2687-83
OTSZ6615719: 07.482.729/6113-86<->42.590.664/0966-79
ZBQJ2088107: 78.114.390/9616-08<->27.521.201/7627-49
WUVU5718511: 94.872.999/0385-21<->81.325.561/6090-38
